T_outdoor,T_room,Q_solar,Q_internal,Q_hvac_cool,Q_hvac_heat,Q_hvac,Q_ghi,Q_load,Timestamp
15.75,20.873648649208327,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:05:00
15.5,20.86588682226964,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:10:00
15.25,20.858751302266537,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:15:00
15.0,20.84973437100877,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:20:00
14.75,20.84180851264993,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:25:00
14.5,20.831917017769655,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:30:00
14.25,20.82342081523261,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:35:00
14.0,20.81287950967018,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:40:00
13.75,20.7977411514607,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:45:00
13.5,20.78127559825103,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:50:00
13.25,20.773549201383045,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  00:55:00
13.0,20.766426119462075,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:00:00
12.916666666666666,20.750403646422193,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:05:00
12.833333333333334,20.744756118461847,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:10:00
12.75,20.732924996700127,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:15:00
12.666666666666668,20.72175406166476,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:20:00
12.583333333333332,20.712581721006632,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:25:00
12.5,20.70867084977335,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:30:00
12.416666666666666,20.702752496986854,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:35:00
12.333333333333334,20.694704617034475,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:40:00
12.25,20.690183838037136,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:45:00
12.166666666666666,20.683522378418147,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:50:00
12.083333333333334,20.67512222882661,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  01:55:00
12.0,20.670689480630887,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:00:00
12.0,20.66411450058307,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:05:00
12.0,20.655664750183913,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:10:00
12.0,20.651116343578316,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:15:00
12.0,20.644446900710395,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:20:00
12.0,20.63597204363368,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:25:00
12.0,20.631457972032337,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:30:00
12.0,20.62485032542015,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:35:00
12.0,20.616447605238825,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:40:00
12.0,20.612097964120654,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:45:00
12.0,20.60554698880184,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:50:00
12.0,20.59716064705907,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  02:55:00
12.0,20.592703273493004,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  03:00:00
11.916666666666666,20.585953701117,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  03:05:00
11.833333333333334,20.57718305948344,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  03:10:00
11.75,20.572341193444313,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  03:15:00
11.666666666666666,20.565217135369007,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  03:20:00
11.583333333333332,20.55617608333507,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  03:25:00
11.5,20.551400185672705,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  03:30:00
11.416666666666668,20.54422504513395,0.0,0.4433517467604339,0.0,0.0,0.0,0.0,0.4433517467604339, 07/03  03:35:00
